[('A', 'E', 'S', 'T', 'U', 'D', 'F', 'C', 'G', 'B'), 688783762.1000003] 
[('A', 'E', 'S', 'T', 'U', 'D', 'F', 'C', 'B', 'G'), 688182319.2000002] 
[('A', 'E', 'S', 'T', 'U', 'D', 'F', 'G', 'C', 'B'), 682153135.6000001] 
[('A', 'E', 'S', 'T', 'U', 'D', 'F', 'B', 'C', 'G'), 679671531.8000001] 
[('A', 'E', 'S', 'T', 'U', 'D', 'G', 'C', 'F', 'B'), 678388572.3000001] 
[('A', 'E', 'S', 'T', 'U', 'D', 'G', 'C', 'B', 'F'), 677656526.7000002] 
[('A', 'E', 'S', 'T', 'U', 'D', 'G', 'F', 'C', 'B'), 675007941.0] 
[('A', 'E', 'S', 'T', 'U', 'D', 'F', 'G', 'B', 'C'), 674698179.4000003] 
[('A', 'T', 'E', 'S', 'D', 'U', 'F', 'C', 'B', 'G'), 674031547.2499995] 
[('A', 'E', 'S', 'T', 'U', 'D', 'C', 'F', 'G', 'B'), 673711667.1999998] 
[('A', 'E', 'S', 'T', 'U', 'D', 'C', 'F', 'B', 'G'), 672957511.9] 
[('E', 'A', 'S', 'T', 'U', 'D', 'F', 'C', 'G', 'B'), 672953480.7000004] 
[('A', 'E', 'S', 'T', 'U', 'D', 'F', 'B', 'G', 'C'), 672813194.8000003] 
[('A', 'T', 'E', 'S', 'D', 'U', 'F', 'C', 'G', 'B'), 672789704.7499996] 
[('A', 'E', 'S', 'T', 'U', 'C', 'F', 'D', 'G', 'B'), 671982320.2499999] 
[('E', 'A', 'S', 'T', 'U', 'D', 'F', 'C', 'B', 'G'), 671313254.6999999] 
[('A', 'E', 'S', 'T', 'U', 'D', 'C', 'G', 'F', 'B'), 670765494.5999998] 
[('A', 'E', 'S', 'T', 'U', 'C', 'F', 'D', 'B', 'G'), 670574805.55] 
[('A', 'E', 'S', 'T', 'U', 'D', 'C', 'G', 'B', 'F'), 670207415.2000002] 
[('A', 'E', 'S', 'T', 'U', 'D', 'G', 'B', 'C', 'F'), 669877909.7] 
[('A', 'E', 'S', 'T', 'U', 'D', 'C', 'B', 'G', 'F'), 668572486.8000002] 
[('A', 'E', 'S', 'T', 'U', 'D', 'C', 'B', 'F', 'G'), 668326763.5] 
[('A', 'T', 'E', 'S', 'D', 'U', 'G', 'C', 'B', 'F'), 668030008.4499998] 
[('E', 'A', 'S', 'T', 'U', 'D', 'F', 'G', 'C', 'B'), 667493483.0000004] 
[('A', 'E', 'S', 'T', 'U', 'D', 'G', 'F', 'B', 'C'), 667125032.0000001] 
[('A', 'T', 'E', 'S', 'D', 'U', 'F', 'B', 'C', 'G'), 666103368.0499995] 
[('A', 'T', 'E', 'S', 'D', 'U', 'F', 'G', 'C', 'B'), 665971263.3499995] 
[('A', 'T', 'E', 'S', 'D', 'U', 'G', 'C', 'F', 'B'), 665728122.6499997] 
[('E', 'A', 'S', 'T', 'U', 'D', 'F', 'B', 'C', 'G'), 664566073.5] 
[('A', 'E', 'S', 'T', 'U', 'D', 'B', 'C', 'F', 'G'), 664047379.6] 
[('A', 'E', 'S', 'T', 'U', 'D', 'B', 'C', 'G', 'F'), 663916776.9000002] 
[('A', 'E', 'S', 'T', 'U', 'D', 'G', 'B', 'F', 'C'), 662773849.4000001] 
[('E', 'A', 'S', 'T', 'U', 'D', 'G', 'C', 'F', 'B'), 662558290.9000002] 
[('A', 'T', 'E', 'S', 'C', 'U', 'F', 'D', 'B', 'G'), 662240319.6999996] 
[('E', 'A', 'S', 'T', 'U', 'D', 'G', 'C', 'B', 'F'), 662100567.2999998] 
[('E', 'A', 'S', 'T', 'U', 'C', 'F', 'D', 'G', 'B'), 661885984.9000001] 
[('A', 'T', 'E', 'S', 'C', 'U', 'F', 'D', 'G', 'B'), 661732212.6999996] 
[('A', 'T', 'E', 'S', 'D', 'U', 'F', 'G', 'B', 'C'), 661169493.2499999] 
[('A', 'T', 'E', 'S', 'D', 'U', 'G', 'B', 'C', 'F'), 660833999.6499997] 
[('E', 'A', 'S', 'T', 'U', 'D', 'F', 'G', 'B', 'C'), 660347290.3] 
[('A', 'E', 'S', 'T', 'U', 'D', 'B', 'F', 'C', 'G'), 660307749.9] 
[('E', 'S', 'A', 'T', 'D', 'U', 'F', 'C', 'G', 'B'), 660252345.4500004] 
[('E', 'S', 'A', 'T', 'D', 'U', 'F', 'C', 'B', 'G'), 660136983.7499999] 
[('A', 'T', 'E', 'S', 'D', 'U', 'F', 'B', 'G', 'C'), 660054931.7499999] 
[('A', 'T', 'E', 'S', 'D', 'U', 'G', 'F', 'C', 'B'), 659791424.2499995] 
[('E', 'A', 'S', 'T', 'U', 'C', 'F', 'D', 'B', 'G'), 659439687.0999999] 
[('A', 'E', 'S', 'T', 'U', 'C', 'G', 'D', 'F', 'B'), 659263100.8499997] 
[('E', 'A', 'S', 'T', 'U', 'D', 'G', 'F', 'C', 'B'), 659239654.6000003] 
[('E', 'A', 'S', 'T', 'U', 'D', 'F', 'B', 'G', 'C'), 659055283.1] 
[('A', 'T', 'E', 'S', 'B', 'U', 'F', 'D', 'C', 'G'), 658904037.2499998] 
[('A', 'E', 'S', 'T', 'U', 'C', 'F', 'G', 'D', 'B'), 657968706.15] 
[('E', 'A', 'S', 'T', 'U', 'D', 'C', 'F', 'G', 'B'), 657943380.8] 
[('A', 'E', 'S', 'T', 'U', 'C', 'G', 'D', 'B', 'F'), 657864917.25] 
[('A', 'E', 'S', 'T', 'U', 'D', 'B', 'G', 'C', 'F'), 657758617.2000002] 
[('E', 'A', 'S', 'T', 'U', 'D', 'C', 'F', 'B', 'G'), 656150442.3999997] 
[('E', 'A', 'S', 'T', 'U', 'D', 'C', 'G', 'F', 'B'), 656105841.9999999] 
[('E', 'A', 'S', 'T', 'U', 'D', 'G', 'B', 'C', 'F'), 656085556.4999999] 
[('E', 'A', 'S', 'T', 'U', 'D', 'C', 'G', 'B', 'F'), 655822084.5999998] 
[('A', 'E', 'S', 'T', 'U', 'C', 'F', 'B', 'D', 'G'), 655108178.5500001] 
[('E', 'A', 'S', 'T', 'U', 'D', 'C', 'B', 'G', 'F'), 654780133.5999999] 
[('A', 'E', 'S', 'T', 'U', 'C', 'D', 'F', 'G', 'B'), 654722961.4499998] 
[('A', 'T', 'E', 'S', 'D', 'U', 'G', 'F', 'B', 'C'), 654561701.3499998] 
[('A', 'T', 'E', 'S', 'C', 'U', 'G', 'D', 'B', 'F'), 654275221.8999999] 
[('A', 'T', 'E', 'S', 'D', 'U', 'B', 'C', 'G', 'F'), 654075937.7499998] 
[('A', 'E', 'S', 'T', 'U', 'C', 'B', 'D', 'G', 'F'), 653412235.45] 
[('A', 'E', 'S', 'T', 'U', 'C', 'B', 'D', 'F', 'G'), 653402904.3499998] 
[('A', 'T', 'E', 'S', 'D', 'U', 'G', 'B', 'F', 'C'), 653349194.05] 
[('E', 'A', 'S', 'T', 'U', 'D', 'C', 'B', 'F', 'G'), 653221305.1999998] 
[('A', 'E', 'S', 'T', 'U', 'D', 'B', 'F', 'G', 'C'), 653178996.1999999] 
[('A', 'T', 'E', 'S', 'B', 'U', 'F', 'D', 'G', 'C'), 653104193.2499999] 
[('A', 'T', 'E', 'S', 'D', 'U', 'B', 'C', 'F', 'G'), 653015894.4499996] 
[('E', 'S', 'A', 'T', 'D', 'U', 'F', 'G', 'C', 'B'), 652725066.5500002] 
[('A', 'T', 'E', 'S', 'C', 'U', 'G', 'D', 'F', 'B'), 652446233.2999996] 
[('E', 'A', 'S', 'T', 'U', 'D', 'G', 'F', 'B', 'C'), 651665509.0999998] 
[('A', 'T', 'E', 'S', 'B', 'U', 'F', 'C', 'D', 'G'), 651391672.9499997] 
[('A', 'E', 'S', 'T', 'U', 'D', 'B', 'G', 'F', 'C'), 650861740.4] 
[('A', 'E', 'S', 'T', 'U', 'C', 'D', 'B', 'G', 'F'), 650733817.2500002] 
[('A', 'E', 'S', 'T', 'U', 'C', 'D', 'F', 'B', 'G'), 650534379.85] 
[('E', 'A', 'S', 'T', 'U', 'C', 'F', 'G', 'D', 'B'), 650475669.2] 
[('E', 'S', 'A', 'T', 'D', 'U', 'F', 'B', 'C', 'G'), 650291364.7499999] 
[('A', 'E', 'S', 'T', 'U', 'C', 'D', 'G', 'F', 'B'), 650152428.2499998] 
[('A', 'T', 'E', 'S', 'B', 'U', 'G', 'D', 'C', 'F'), 650093274.65] 
[('E', 'S', 'A', 'T', 'D', 'F', 'U', 'C', 'G', 'B'), 649704006.8500003] 
[('A', 'E', 'S', 'T', 'U', 'C', 'G', 'F', 'D', 'B'), 649551228.3499998] 
[('A', 'E', 'S', 'T', 'U', 'C', 'D', 'B', 'F', 'G'), 649535979.85] 
[('A', 'T', 'E', 'S', 'D', 'F', 'U', 'C', 'G', 'B'), 649486901.15] 
[('E', 'A', 'S', 'T', 'U', 'C', 'G', 'D', 'F', 'B'), 649166765.4999999] 
[('E', 'A', 'S', 'T', 'U', 'D', 'G', 'B', 'F', 'C'), 649015937.6999998] 
[('A', 'T', 'E', 'S', 'C', 'U', 'B', 'D', 'G', 'F'), 648778035.2999997] 
[('E', 'A', 'S', 'T', 'U', 'D', 'B', 'C', 'G', 'F'), 648360817.4999999] 
[('E', 'A', 'S', 'T', 'U', 'C', 'G', 'D', 'B', 'F'), 648042903.8999999] 
[('A', 'T', 'E', 'S', 'D', 'U', 'B', 'G', 'C', 'F'), 647729963.1499997] 
[('A', 'T', 'E', 'S', 'C', 'U', 'B', 'D', 'F', 'G'), 647457153.6999995] 
[('E', 'A', 'S', 'T', 'U', 'D', 'B', 'C', 'F', 'G'), 647178315.0999998] 
[('E', 'A', 'S', 'T', 'U', 'C', 'F', 'B', 'D', 'G'), 647169335.9] 
[('A', 'E', 'S', 'T', 'U', 'C', 'D', 'G', 'B', 'F'), 647112036.6500002] 
[('A', 'T', 'E', 'S', 'C', 'U', 'F', 'B', 'D', 'G'), 647056100.9999996] 
[('A', 'T', 'E', 'S', 'C', 'U', 'F', 'G', 'D', 'B'), 646899884.1999997] 
[('A', 'T', 'E', 'S', 'D', 'F', 'U', 'C', 'B', 'G'), 646876633.2499998] 
[('A', 'T', 'E', 'S', 'D', 'U', 'B', 'F', 'C', 'G'), 646720197.6499994] 
[('E', 'S', 'A', 'T', 'D', 'U', 'F', 'G', 'B', 'C'), 646696646.5499997] 
[('E', 'S', 'A', 'T', 'C', 'U', 'F', 'D', 'G', 'B'), 646510991.0000001] 
[('E', 'A', 'S', 'T', 'U', 'C', 'D', 'F', 'G', 'B'), 646121290.6999999] 
[('E', 'S', 'A', 'T', 'D', 'F', 'U', 'C', 'B', 'G'), 645736534.7499996] 
[('A', 'S', 'T', 'E', 'C', 'D', 'B', 'U', 'G', 'F'), 645690152.4] 
[('E', 'S', 'A', 'T', 'C', 'U', 'F', 'D', 'B', 'G'), 645661893.7999997] 
[('A', 'T', 'E', 'S', 'G', 'U', 'F', 'D', 'C', 'B'), 645594903.1999998] 
[('A', 'S', 'T', 'E', 'C', 'D', 'B', 'U', 'F', 'G'), 645217009.8000001] 
[('S', 'E', 'A', 'T', 'U', 'D', 'F', 'C', 'G', 'B'), 644487892.5000005] 
[('E', 'S', 'A', 'T', 'D', 'U', 'F', 'B', 'G', 'C'), 644373482.7499999] 
[('A', 'E', 'S', 'T', 'U', 'C', 'G', 'B', 'D', 'F'), 644152541.6500001] 
[('E', 'A', 'S', 'T', 'U', 'C', 'D', 'B', 'G', 'F'), 644108079.7] 
[('A', 'E', 'S', 'T', 'U', 'F', 'C', 'D', 'G', 'B'), 644090400.0999998] 
[('E', 'S', 'A', 'T', 'D', 'U', 'G', 'C', 'B', 'F'), 643877582.15] 
[('A', 'T', 'E', 'S', 'D', 'U', 'C', 'G', 'B', 'F'), 643638057.0500001] 
[('A', 'T', 'E', 'S', 'B', 'U', 'G', 'C', 'D', 'F'), 643602991.3499999] 
[('E', 'A', 'S', 'T', 'U', 'C', 'B', 'D', 'G', 'F'), 643590222.0999998] 
[('E', 'A', 'S', 'T', 'U', 'D', 'B', 'F', 'C', 'G'), 643500680.3999999] 
[('A', 'S', 'T', 'E', 'D', 'C', 'B', 'U', 'G', 'F'), 643435212.8000002] 
[('E', 'A', 'S', 'T', 'U', 'D', 'B', 'G', 'C', 'F'), 643373286.5999999] 
[('A', 'T', 'E', 'S', 'D', 'G', 'U', 'C', 'F', 'B'), 643254485.0999999] 
[('A', 'E', 'S', 'T', 'U', 'C', 'F', 'G', 'B', 'D'), 643199890.8500003] 
[('S', 'E', 'A', 'T', 'U', 'D', 'F', 'C', 'B', 'G'), 643191597.6000001] 
