('O', 'T', 'H', 'E', 'M', 'D', 'L', 'P', 'G') ('A', 'S', 'I', 'N', 'C', 'U', 'F', 'R', 'W') 3369482133
('T', 'S', 'E', 'R', 'C', 'F', 'G', 'L', 'M') ('A', 'O', 'I', 'N', 'D', 'U', 'W', 'H', 'P') 3356502450
('O', 'T', 'E', 'R', 'M', 'W', 'G', 'L', 'C') ('A', 'S', 'I', 'N', 'D', 'U', 'P', 'H', 'F') 3355678552
('A', 'T', 'H', 'E', 'M', 'L', 'F', 'G', 'U') ('O', 'S', 'I', 'N', 'D', 'C', 'P', 'R', 'W') 3355444940
('O', 'T', 'H', 'E', 'M', 'D', 'L', 'F', 'G') ('A', 'S', 'I', 'N', 'C', 'U', 'P', 'R', 'W') 3351984843
('A', 'T', 'H', 'E', 'M', 'D', 'F', 'G', 'U') ('O', 'S', 'I', 'N', 'L', 'C', 'P', 'R', 'W') 3349697014
('A', 'T', 'H', 'E', 'P', 'D', 'F', 'G', 'U') ('O', 'S', 'I', 'N', 'C', 'R', 'W', 'L', 'M') 3349283177
('O', 'T', 'H', 'E', 'M', 'D', 'L', 'U', 'G') ('A', 'S', 'I', 'N', 'C', 'P', 'F', 'R', 'W') 3344877214
('O', 'T', 'E', 'R', 'P', 'W', 'G', 'C', 'L') ('A', 'S', 'I', 'N', 'D', 'U', 'F', 'H', 'M') 3343453937
('E', 'S', 'T', 'H', 'D', 'C', 'G', 'L', 'M') ('O', 'A', 'I', 'N', 'U', 'R', 'W', 'F', 'P') 3342363761
('A', 'T', 'H', 'E', 'C', 'D', 'F', 'G', 'U') ('O', 'S', 'I', 'N', 'R', 'P', 'W', 'L', 'M') 3342190582
('O', 'T', 'H', 'E', 'M', 'D', 'L', 'W', 'G') ('A', 'S', 'I', 'N', 'C', 'U', 'P', 'R', 'F') 3341999274
('O', 'E', 'T', 'H', 'U', 'C', 'G', 'L', 'M') ('A', 'S', 'I', 'N', 'D', 'P', 'F', 'R', 'W') 3339788862
('A', 'T', 'H', 'E', 'C', 'D', 'P', 'U', 'F') ('S', 'O', 'I', 'N', 'G', 'R', 'W', 'L', 'M') 3339589975
('O', 'T', 'H', 'E', 'P', 'L', 'D', 'U', 'G') ('A', 'S', 'I', 'N', 'C', 'R', 'W', 'M', 'F') 3338696907
('O', 'T', 'H', 'E', 'C', 'L', 'M', 'P', 'G') ('A', 'S', 'I', 'N', 'D', 'U', 'F', 'R', 'W') 3338173930
('O', 'T', 'E', 'R', 'M', 'W', 'G', 'D', 'C') ('A', 'S', 'I', 'N', 'L', 'U', 'F', 'H', 'P') 3337887158
('O', 'T', 'H', 'E', 'M', 'D', 'C', 'U', 'G') ('A', 'S', 'I', 'N', 'L', 'P', 'F', 'R', 'W') 3335660011
('O', 'T', 'E', 'R', 'M', 'U', 'W', 'L', 'G') ('A', 'S', 'I', 'N', 'D', 'C', 'P', 'H', 'F') 3334610597
('A', 'O', 'H', 'E', 'D', 'L', 'F', 'U', 'G') ('S', 'T', 'I', 'N', 'M', 'C', 'P', 'R', 'W') 3334323550
('O', 'T', 'H', 'E', 'W', 'D', 'L', 'U', 'G') ('A', 'S', 'I', 'N', 'C', 'P', 'F', 'R', 'M') 3334142717
('O', 'T', 'H', 'E', 'C', 'L', 'M', 'F', 'G') ('A', 'S', 'I', 'N', 'D', 'U', 'P', 'R', 'W') 3333448715
('A', 'T', 'E', 'R', 'G', 'U', 'F', 'L', 'W') ('O', 'S', 'I', 'N', 'D', 'C', 'P', 'M', 'H') 3333274697
('O', 'T', 'H', 'E', 'M', 'D', 'C', 'G', 'P') ('A', 'S', 'I', 'N', 'L', 'U', 'F', 'R', 'W') 3332703079
('A', 'T', 'H', 'E', 'M', 'D', 'P', 'U', 'F') ('O', 'S', 'I', 'N', 'L', 'C', 'G', 'R', 'W') 3332598837
('O', 'S', 'T', 'E', 'C', 'D', 'P', 'W', 'G') ('A', 'R', 'I', 'N', 'L', 'U', 'F', 'H', 'M') 3332568280
('A', 'T', 'H', 'E', 'C', 'D', 'P', 'U', 'G') ('O', 'S', 'I', 'N', 'F', 'R', 'W', 'L', 'M') 3332352025
('O', 'T', 'H', 'E', 'P', 'L', 'D', 'F', 'G') ('A', 'S', 'I', 'N', 'C', 'U', 'W', 'R', 'M') 3331946081
('A', 'T', 'E', 'R', 'M', 'U', 'W', 'C', 'F') ('O', 'S', 'I', 'N', 'D', 'G', 'P', 'L', 'H') 3330902432
