['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'F', 'W'] 2696189793
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'F', 'B'] 2689883601
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'F', 'P'] 2677250312
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'F', 'W', 'B'] 2668768729
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'F', 'W'] 2665721039
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'W', 'B'] 2660921162
['T', 'N', 'S', 'R', 'L', 'C', 'M', 'F', 'W', 'B'] 2657532829
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'F', 'Y'] 2656658224
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'W', 'B'] 2653747208
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'F', 'G'] 2652364718
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'F', 'P', 'W'] 2649840612
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'P', 'W'] 2648962589
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'F', 'B'] 2647175193
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'F', 'P', 'B'] 2646087762
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'F', 'W', 'B'] 2644140724
['E', 'A', 'O', 'I', 'U', 'P', 'G', 'W', 'Y', 'B'] 2643360603
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'P', 'B'] 2642634499
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'P', 'W'] 2641781301
['T', 'N', 'S', 'R', 'L', 'C', 'M', 'F', 'P', 'W'] 2638597378
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'F', 'P'] 2634534570
['E', 'A', 'O', 'I', 'D', 'U', 'P', 'G', 'W', 'Y'] 2634055545
['E', 'A', 'O', 'I', 'U', 'F', 'P', 'G', 'W', 'Y'] 2632119348
['T', 'N', 'S', 'R', 'L', 'C', 'M', 'P', 'W', 'B'] 2631823711
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'F', 'P', 'W'] 2631202735
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'U', 'M', 'F'] 2628917097
['E', 'A', 'O', 'I', 'U', 'F', 'P', 'G', 'Y', 'B'] 2627247134
['E', 'A', 'O', 'I', 'D', 'U', 'P', 'G', 'Y', 'B'] 2626608091
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'F', 'P', 'B'] 2625457435
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'G', 'W'] 2625176089
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'W', 'Y'] 2625163777
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'F', 'W', 'Y'] 2624931760
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'G', 'W'] 2623335617
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'P', 'B'] 2623213557
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'F', 'G', 'W'] 2623051022
['T', 'N', 'S', 'R', 'L', 'C', 'M', 'F', 'P', 'B'] 2622604874
['T', 'N', 'S', 'R', 'L', 'C', 'M', 'F', 'G', 'W'] 2620829548
['E', 'A', 'O', 'I', 'D', 'U', 'F', 'P', 'G', 'Y'] 2619914182
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'P', 'W', 'B'] 2619772145
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'F', 'G', 'B'] 2619528828
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'F', 'G'] 2618670736
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'F', 'W', 'B'] 2617693322
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'G', 'B'] 2617238183
['E', 'A', 'O', 'I', 'C', 'U', 'P', 'G', 'W', 'Y'] 2616653926
['E', 'A', 'O', 'I', 'U', 'F', 'G', 'W', 'Y', 'B'] 2615516737
['N', 'S', 'R', 'H', 'L', 'C', 'U', 'M', 'F', 'W'] 2614029761
['T', 'N', 'S', 'R', 'L', 'C', 'M', 'G', 'W', 'B'] 2613545159
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'F', 'P', 'B'] 2613501043
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'F', 'P', 'W'] 2613331389
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'F', 'Y', 'B'] 2612451292
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'F', 'W', 'Y'] 2611429815
['E', 'A', 'O', 'I', 'C', 'U', 'P', 'G', 'Y', 'B'] 2611198922
['E', 'A', 'O', 'I', 'D', 'U', 'G', 'W', 'Y', 'B'] 2610483390
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'Y', 'B'] 2610108069
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'P', 'Y'] 2608685492
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'G', 'B'] 2606839001
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'F', 'G', 'W'] 2606001493
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'U', 'M', 'W'] 2605712014
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'M', 'P', 'G'] 2605511018
['T', 'N', 'S', 'R', 'L', 'C', 'M', 'F', 'G', 'B'] 2605067700
['E', 'A', 'O', 'I', 'D', 'C', 'U', 'P', 'G', 'Y'] 2604457800
['E', 'A', 'O', 'I', 'D', 'U', 'F', 'G', 'W', 'Y'] 2604442299
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'F', 'P', 'Y'] 2604059171
['N', 'S', 'R', 'H', 'L', 'D', 'U', 'M', 'F', 'W'] 2602633000
['N', 'S', 'R', 'H', 'L', 'M', 'F', 'P', 'W', 'B'] 2602604121
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'W', 'Y'] 2602169617
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'F', 'P', 'G'] 2600832119
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'F', 'G', 'B'] 2600486849
['E', 'A', 'O', 'I', 'C', 'U', 'F', 'P', 'G', 'Y'] 2599131905
['E', 'A', 'O', 'I', 'C', 'U', 'G', 'W', 'Y', 'B'] 2599071899
['T', 'N', 'S', 'R', 'L', 'D', 'M', 'F', 'W', 'B'] 2598545010
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'F', 'Y'] 2598129610
['T', 'N', 'S', 'R', 'L', 'C', 'M', 'F', 'W', 'Y'] 2597875654
['E', 'A', 'O', 'I', 'D', 'U', 'F', 'G', 'Y', 'B'] 2597016743
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'F', 'Y', 'B'] 2596956897
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'P', 'W', 'B'] 2595761160
['T', 'N', 'S', 'R', 'L', 'C', 'M', 'P', 'G', 'W'] 2595515832
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'M', 'P', 'G'] 2595104502
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'F', 'P', 'Y'] 2594554904
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'G', 'W', 'B'] 2592471833
['N', 'S', 'R', 'H', 'L', 'C', 'F', 'P', 'W', 'B'] 2592352821
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'F', 'W', 'B'] 2590577968
['E', 'A', 'O', 'I', 'D', 'C', 'U', 'G', 'W', 'Y'] 2588589291
