('I', 'O', 'E', 'A', 'D', 'U', 'G', 'F', 'P') ('S', 'N', 'T', 'H', 'L', 'C', 'W', 'R', 'M') 3407234561
('I', 'O', 'E', 'A', 'D', 'U', 'W', 'P', 'G') ('S', 'N', 'T', 'H', 'F', 'C', 'M', 'R', 'L') 3392841900
('A', 'E', 'I', 'N', 'U', 'C', 'W', 'F', 'P') ('O', 'S', 'T', 'H', 'D', 'M', 'G', 'R', 'L') 3390744433
('A', 'E', 'I', 'N', 'U', 'D', 'W', 'F', 'P') ('O', 'S', 'T', 'H', 'M', 'C', 'G', 'R', 'L') 3389970648
('I', 'O', 'E', 'A', 'D', 'U', 'W', 'F', 'P') ('S', 'N', 'T', 'H', 'C', 'G', 'M', 'R', 'L') 3389550499
('I', 'O', 'E', 'A', 'D', 'F', 'G', 'U', 'W') ('S', 'N', 'T', 'H', 'P', 'C', 'M', 'R', 'L') 3382457799
('A', 'E', 'I', 'N', 'U', 'C', 'P', 'M', 'F') ('O', 'S', 'T', 'H', 'D', 'W', 'G', 'R', 'L') 3381282169
('A', 'O', 'E', 'S', 'D', 'U', 'F', 'C', 'G') ('I', 'N', 'T', 'H', 'L', 'P', 'W', 'R', 'M') 3379921697
('A', 'E', 'I', 'N', 'U', 'D', 'P', 'M', 'F') ('O', 'S', 'T', 'H', 'W', 'C', 'G', 'R', 'L') 3379028192
('E', 'A', 'I', 'N', 'F', 'U', 'P', 'L', 'W') ('O', 'S', 'T', 'H', 'D', 'C', 'G', 'R', 'M') 3377944533
('O', 'I', 'E', 'A', 'P', 'C', 'G', 'F', 'U') ('S', 'N', 'T', 'H', 'L', 'D', 'W', 'R', 'M') 3376413976
('A', 'O', 'E', 'S', 'D', 'U', 'G', 'C', 'P') ('I', 'N', 'T', 'H', 'L', 'W', 'M', 'R', 'F') 3375370917
('O', 'T', 'H', 'E', 'M', 'D', 'L', 'P', 'G') ('A', 'S', 'I', 'N', 'C', 'U', 'F', 'R', 'W') 3369482133
('A', 'E', 'I', 'N', 'G', 'D', 'U', 'P', 'F') ('O', 'S', 'T', 'H', 'M', 'C', 'W', 'R', 'L') 3366983497
('E', 'A', 'I', 'N', 'F', 'M', 'U', 'L', 'W') ('O', 'S', 'T', 'H', 'G', 'C', 'P', 'R', 'D') 3364077905
('A', 'E', 'I', 'N', 'U', 'C', 'W', 'M', 'F') ('O', 'S', 'T', 'H', 'D', 'P', 'G', 'R', 'L') 3363188123
('A', 'O', 'E', 'S', 'D', 'U', 'W', 'L', 'G') ('I', 'N', 'T', 'H', 'F', 'C', 'P', 'R', 'M') 3362960600
('A', 'O', 'E', 'S', 'D', 'U', 'W', 'C', 'G') ('I', 'N', 'T', 'H', 'L', 'P', 'F', 'R', 'M') 3362208381
('O', 'E', 'I', 'N', 'U', 'C', 'P', 'L', 'W') ('A', 'S', 'T', 'H', 'D', 'M', 'G', 'R', 'F') 3361917845
('A', 'I', 'R', 'E', 'P', 'D', 'C', 'U', 'F') ('O', 'N', 'T', 'H', 'L', 'G', 'W', 'S', 'M') 3361845842
('A', 'O', 'E', 'S', 'D', 'U', 'W', 'C', 'F') ('I', 'N', 'T', 'H', 'L', 'G', 'P', 'R', 'M') 3361788568
('A', 'O', 'E', 'S', 'D', 'U', 'W', 'C', 'P') ('I', 'N', 'T', 'H', 'L', 'G', 'M', 'R', 'F') 3361374634
('A', 'E', 'I', 'N', 'G', 'C', 'U', 'P', 'F') ('O', 'S', 'T', 'H', 'D', 'W', 'M', 'R', 'L') 3361205106
('O', 'I', 'E', 'A', 'P', 'C', 'G', 'W', 'U') ('S', 'N', 'T', 'H', 'F', 'D', 'M', 'R', 'L') 3360636832
('A', 'E', 'I', 'N', 'U', 'D', 'W', 'C', 'P') ('O', 'S', 'T', 'H', 'F', 'M', 'G', 'R', 'L') 3360544547
('A', 'O', 'E', 'S', 'D', 'U', 'G', 'F', 'P') ('I', 'N', 'T', 'H', 'L', 'C', 'W', 'R', 'M') 3360197233
('A', 'O', 'E', 'S', 'D', 'U', 'F', 'C', 'P') ('I', 'N', 'T', 'H', 'L', 'G', 'W', 'R', 'M') 3358922350
('I', 'A', 'R', 'E', 'F', 'D', 'C', 'U', 'W') ('O', 'N', 'T', 'H', 'L', 'G', 'M', 'S', 'P') 3358066233
('A', 'E', 'I', 'N', 'U', 'D', 'W', 'M', 'F') ('O', 'S', 'T', 'H', 'C', 'P', 'G', 'R', 'L') 3358061457
('I', 'O', 'E', 'A', 'D', 'U', 'W', 'C', 'P') ('S', 'N', 'T', 'H', 'F', 'G', 'M', 'R', 'L') 3357699994
('T', 'S', 'E', 'R', 'C', 'F', 'G', 'L', 'M') ('A', 'O', 'I', 'N', 'D', 'U', 'W', 'H', 'P') 3356502450
('O', 'T', 'E', 'R', 'M', 'W', 'G', 'L', 'C') ('A', 'S', 'I', 'N', 'D', 'U', 'P', 'H', 'F') 3355678552
('A', 'T', 'H', 'E', 'M', 'L', 'F', 'G', 'U') ('O', 'S', 'I', 'N', 'D', 'C', 'P', 'R', 'W') 3355444940
('A', 'T', 'H', 'E', 'M', 'D', 'F', 'G', 'U') ('R', 'S', 'I', 'N', 'C', 'O', 'P', 'L', 'W') 3355234579
('I', 'N', 'E', 'R', 'L', 'U', 'F', 'C', 'M') ('A', 'S', 'T', 'H', 'D', 'W', 'P', 'O', 'G') 3354855817
('I', 'O', 'E', 'A', 'D', 'U', 'W', 'C', 'G') ('R', 'S', 'T', 'H', 'L', 'P', 'M', 'N', 'F') 3354462046
('A', 'O', 'E', 'S', 'D', 'U', 'G', 'M', 'C') ('I', 'N', 'T', 'H', 'L', 'W', 'P', 'R', 'F') 3354436940
('A', 'E', 'I', 'N', 'W', 'D', 'U', 'C', 'F') ('O', 'S', 'T', 'H', 'M', 'P', 'G', 'R', 'L') 3354173027
('O', 'E', 'A', 'N', 'U', 'D', 'F', 'W', 'P') ('I', 'S', 'T', 'H', 'L', 'C', 'G', 'R', 'M') 3353962902
('E', 'O', 'I', 'N', 'D', 'U', 'W', 'C', 'P') ('A', 'S', 'T', 'H', 'L', 'M', 'G', 'R', 'F') 3353357398
('A', 'E', 'I', 'N', 'U', 'P', 'W', 'M', 'F') ('O', 'S', 'T', 'H', 'D', 'C', 'G', 'R', 'L') 3353348348
('A', 'E', 'I', 'N', 'U', 'D', 'F', 'C', 'P') ('O', 'S', 'T', 'H', 'M', 'W', 'G', 'R', 'L') 3352586384
('O', 'T', 'H', 'E', 'M', 'D', 'L', 'F', 'G') ('A', 'S', 'I', 'N', 'C', 'U', 'P', 'R', 'W') 3351984843
('A', 'T', 'H', 'E', 'P', 'D', 'F', 'G', 'U') ('R', 'S', 'I', 'N', 'C', 'O', 'W', 'L', 'M') 3351246183
('O', 'I', 'E', 'A', 'P', 'C', 'W', 'F', 'U') ('S', 'N', 'T', 'H', 'L', 'D', 'G', 'R', 'M') 3351095258
('I', 'O', 'E', 'A', 'D', 'M', 'G', 'U', 'P') ('S', 'N', 'T', 'H', 'F', 'C', 'W', 'R', 'L') 3350487123
('O', 'E', 'A', 'N', 'U', 'D', 'W', 'C', 'P') ('I', 'S', 'T', 'H', 'F', 'L', 'G', 'R', 'M') 3350259202
('I', 'O', 'E', 'A', 'D', 'U', 'G', 'C', 'P') ('N', 'S', 'T', 'H', 'F', 'W', 'M', 'R', 'L') 3349929646
